Player,Club,POS,MINS,G,A,SHTS,G/90min,A/90min,OFF,YC,RC,Year,Season
Devon Sandoval,RSL,F,228,0,0,3,0.0,0.0,0,0,0,2016,reg
Nick Hagglund,CIN,D,847,0,0,3,0.0,0.0,1,0,0,2016,reg
A.J. DeLaGarza,MIA,D,2064,0,0,3,0.0,0.0,0,5,0,2016,reg
Omer Damari,NY,F,79,0,0,3,0.0,0.0,0,0,0,2016,reg
Johan Kappelhof,CHI,D,2789,0,0,3,0.0,0.0,3,3,0,2016,reg
Chris Schuler,RSL,D,271,0,0,3,0.0,0.0,0,0,0,2016,reg
Pa-Modou Kah,VAN,D,395,0,0,3,0.0,0.0,0,3,0,2016,reg
José Gonçalves,NE ,D,2519,0,0,3,0.0,0.0,1,3,0,2016,reg
Shaun Wright-Phillips,NY,M,121,0,0,3,0.0,0.0,1,0,0,2016,reg
David Edgar,VAN,D,720,0,0,4,0.0,0.0,0,2,0,2016,reg
Kevin Alston,ORL,D,1989,0,0,4,0.0,0.0,0,3,0,2016,reg
Zach Scott,SEA,D,886,0,0,4,0.0,0.0,0,2,0,2016,reg
Andres Imperiale,SJ ,D,869,0,0,4,0.0,0.0,1,2,0,2016,reg
Karl Ouimette,NY,D,582,0,0,4,0.0,0.0,0,0,0,2016,reg
Pedro Ribeiro,ORL,M-F,152,0,0,4,0.0,0.0,1,1,0,2016,reg
Tony Rocha,NYC,M,298,0,0,4,0.0,0.0,1,1,0,2016,reg
Getterson,DAL,F,152,0,0,4,0.0,0.0,0,0,0,2016,reg
Omar Holness,RSL,M,277,0,0,5,0.0,0.0,0,1,0,2016,reg
Caleb Calvert,COL,F,165,0,0,5,0.0,0.0,1,1,0,2016,reg
Wandrille Lefevre,MTL,D,1114,0,0,5,0.0,0.0,0,1,0,2016,reg
Fraser Aird,CAN,D-M,1455,0,0,5,0.0,0.0,0,4,1,2016,reg
Carlos Lizarazo,DAL,M-F,161,0,0,5,0.0,0.0,0,0,0,2016,reg
Aaron Maund,RSL,D,1746,0,0,5,0.0,0.0,0,4,0,2016,reg
Seth Sinovic,NE,D,532,0,0,5,0.0,0.0,0,2,0,2016,reg
Innocent Emeghara,SJ ,F,115,0,0,5,0.0,0.0,0,0,0,2016,reg
Jordan Smith,VAN,D,1267,0,0,5,0.0,0.0,1,2,1,2016,reg
Chris Wingert,RSL,D,1514,0,0,5,0.0,0.0,0,5,0,2016,reg
Abdoulie Mansally,HOU,D,565,0,0,5,0.0,0.0,0,1,1,2016,reg
Roman Torres,MIA,D,765,0,0,6,0.0,0.0,1,1,0,2016,reg
Calum Mallace,MTL,M,862,0,0,6,0.0,0.0,1,3,1,2016,reg
Shaun Francis,SJ ,D,1524,0,0,6,0.0,0.0,2,4,0,2016,reg
Kofi Opare,DC,D,874,0,0,6,0.0,0.0,2,2,2,2016,reg
Kemar Lawrence,NY,D,1801,0,0,6,0.0,0.0,2,3,0,2016,reg
Daniel Lovitz,NSH,D,406,0,0,6,0.0,0.0,0,1,0,2016,reg
Alphonso Davies,VAN,M,299,0,0,7,0.0,0.0,1,0,0,2016,reg
Jared Watts,COL,D-M,1647,0,0,8,0.0,0.0,0,5,0,2016,reg
Soni Mustivar,SKC,M,2095,0,0,8,0.0,0.0,0,3,1,2016,reg
Agus,HOU,D,672,0,0,8,0.0,0.0,0,0,0,2016,reg
David Mateos,ORL,D,1759,0,0,9,0.0,0.0,1,8,1,2016,reg
David Arshakyan,CHI,F,324,0,0,9,0.0,0.0,0,0,0,2016,reg
Oalex Anderson,SEA,F,334,0,0,9,0.0,0.0,0,0,0,2016,reg
Jose Aja,MIN,D,830,0,0,9,0.0,0.0,0,4,0,2016,reg
Matias Laba,VAN,M,2729,0,0,10,0.0,0.0,0,5,1,2016,reg
Ned Grabavoy,POR,M,632,0,0,10,0.0,0.0,1,3,0,2016,reg
Antonio Nocerino,ORL,M,1509,0,0,11,0.0,0.0,0,3,1,2016,reg
Tim Parker,RBNY,D,2551,0,0,12,0.0,0.0,0,1,0,2016,reg
Tommy Thompson,SJ,D,825,0,0,12,0.0,0.0,1,2,0,2016,reg
Hérculez Gómez,SEA,F,842,0,0,14,0.0,0.0,2,1,0,2016,reg
Nigel de Jong,LA ,M,1561,0,0,16,0.0,0.0,1,3,1,2016,reg
Laurent Ciman,TOR,D,2484,0,0,18,0.0,0.0,0,3,0,2016,reg
Nemanja Nikolic,CHI,F,2946,24,4,118,0.73,0.12,51,1,0,2017,reg
David Villa,NYC,F,2556,22,9,136,0.77,0.32,32,4,0,2017,reg
Diego Valeri,POR,M,2828,21,11,93,0.67,0.35,21,4,0,2017,reg
Josef Martinez,ATL,F,1528,19,1,67,1.12,0.06,19,4,0,2017,reg
Ola Kamara,DC,F,2867,18,3,89,0.57,0.09,38,0,0,2017,reg
Ignacio Piatti,MTL,M,2368,17,6,75,0.65,0.23,8,3,0,2017,reg
Bradley Wright-Phillips,LAFC,F,2560,17,1,83,0.6,0.04,39,5,0,2017,reg
Sebastian Giovinco,TOR,F,2057,16,6,128,0.7,0.26,10,4,0,2017,reg
CJ Sapong,CHI,F,2794,16,5,67,0.52,0.16,10,3,0,2017,reg
Jozy Altidore,TOR,F,2194,15,6,68,0.62,0.25,14,8,0,2017,reg
David Accam,NSH,F,2177,14,8,66,0.58,0.33,18,2,0,2017,reg
Christian Ramirez,HOU,F,2392,14,3,60,0.53,0.11,22,1,0,2017,reg
Erick Torres,HOU,F,2001,14,3,72,0.63,0.13,12,6,0,2017,reg
Romain Alessandrini,LA ,M,2441,13,12,95,0.48,0.44,12,8,0,2017,reg
Hector Villalba,ATL,F,2762,13,11,86,0.42,0.36,10,4,0,2017,reg
Chris Wondolowski,SJ,F,3041,13,8,79,0.38,0.24,21,3,0,2017,reg
Justin Meram,RSL,M,2588,13,7,61,0.45,0.24,14,6,0,2017,reg
Fredy Montero,VAN,F,2469,13,6,86,0.47,0.22,15,6,0,2017,reg
Kei Kamara,COL,F,2365,12,5,88,0.46,0.19,18,4,0,2017,reg
Maximiliano Urruti,MTL,F,2749,12,5,103,0.39,0.16,27,1,0,2017,reg
Clint Dempsey,SEA,M-F,2276,12,5,116,0.47,0.2,3,3,1,2017,reg
Daniel Royer,RBNY,M,1868,12,3,52,0.58,0.14,3,5,0,2017,reg
Cyle Larin,ORL,F,2169,12,3,55,0.5,0.12,11,1,0,2017,reg
Lee Nguyen,MIA,M,2542,11,15,49,0.39,0.53,4,3,0,2017,reg
Roland Lamah,DAL,M,2157,11,3,44,0.46,0.13,12,2,0,2017,reg
Will Bruin,SEA,F,1824,11,2,52,0.54,0.1,10,1,0,2017,reg
Jack Harrison,NYC,F,2757,10,6,65,0.33,0.2,7,3,1,2017,reg
Mauro Manotas,HOU,F,2063,10,5,71,0.44,0.22,4,3,0,2017,reg
Alberth Elis,HOU,F,1645,10,4,71,0.55,0.22,8,8,0,2017,reg
Fanendo Adi,CLB,F,1885,10,3,66,0.48,0.14,30,2,1,2017,reg
Federico Higuain,DC,F,2238,9,14,52,0.36,0.56,8,3,0,2017,reg
Miguel Almiron ,ATL,M,2394,9,14,84,0.34,0.53,10,4,0,2017,reg
Dominique Badji,NSH,F,2540,9,6,56,0.32,0.21,19,5,0,2017,reg
Dom Dwyer,ORL,F,2246,9,5,74,0.36,0.2,21,5,0,2017,reg
Anthony Jackson-Hamel,MTL,F,1137,9,4,32,0.71,0.32,4,0,0,2017,reg
Victor Vazquez,TOR,M,2382,8,16,41,0.3,0.6,2,3,0,2017,reg
Sebastian Blanco,POR,M-F,2783,8,8,86,0.26,0.26,2,6,1,2017,reg
Abu Danladi,NSH,F,1391,8,3,37,0.52,0.19,25,4,1,2017,reg
Gerso Fernandes,SKC,F,2238,8,2,62,0.32,0.08,7,4,0,2017,reg
Justin Morrow,TOR,D,2479,8,1,26,0.29,0.04,4,0,0,2017,reg
Juan Agudelo,MIA,F,1821,8,1,36,0.4,0.05,9,3,0,2017,reg
Albert Rusnak,RSL,M,2579,7,14,85,0.24,0.49,4,2,0,2017,reg
Yamil Asad,DC,M,2765,7,13,53,0.23,0.42,9,7,1,2017,reg
Nicolás Lodeiro,SEA,M,2965,7,12,67,0.21,0.36,16,5,1,2017,reg
Blerim Dzemaili,MTL,M,1941,7,10,66,0.32,0.46,0,8,0,2017,reg
Kevin Molino,MIN,M,2512,7,9,46,0.25,0.32,4,5,0,2017,reg
Diego Fagundez,NE,M,2435,7,8,72,0.26,0.3,4,2,0,2017,reg
Joao Plata,RSL,F,2318,7,5,95,0.27,0.19,12,1,0,2017,reg
Luis Solignac,CHI,F,2153,7,4,45,0.29,0.17,11,1,0,2017,reg
Romell Quioto,MTL,M,1281,7,3,44,0.49,0.21,1,4,0,2017,reg
Fafa Picault,DAL,M,1894,7,3,46,0.33,0.14,7,1,0,2017,reg
Luis Silva,RSL,F,1775,7,3,58,0.35,0.15,13,5,0,2017,reg
Tosaint Ricketts,VAN,F,1003,7,1,31,0.63,0.09,8,0,0,2017,reg
Roland Alberg,PHI,M,871,7,1,31,0.72,0.1,2,3,0,2017,reg
Teal Bunbury,NE,F,1279,7,1,46,0.49,0.07,2,1,0,2017,reg
Yura Movsisyan,RSL,F,1416,7,0,45,0.44,0.0,12,4,0,2017,reg
Cristian Techera,VAN,M,2043,6,7,56,0.26,0.31,4,1,0,2017,reg
Kaká,ORL,M,1564,6,5,31,0.35,0.29,3,6,1,2017,reg
Ilsinho,PHI,M,1848,6,5,38,0.29,0.24,9,4,0,2017,reg
Jefferson Savarino,RSL,F,1673,6,5,57,0.32,0.27,6,0,0,2017,reg
Yordy Reyna,VAN,M-F,1073,6,4,26,0.5,0.34,1,3,0,2017,reg
Gonzalo Verón,NYR,M-F,777,6,3,28,0.69,0.35,3,1,0,2017,reg
Cristian Roldan,SEA,M,2960,6,3,40,0.18,0.09,0,3,0,2017,reg
Giovani dos Santos,LA ,M,2189,6,3,59,0.25,0.12,7,3,0,2017,reg
Diego Rubio,COL,F,1010,6,2,37,0.53,0.18,6,2,0,2017,reg
Matteo Mancosu,MTL,F,1745,6,2,49,0.31,0.1,31,5,0,2017,reg
Julian Gressel,DC,M,2048,5,9,35,0.22,0.4,6,4,0,2017,reg
Maximiliano Moralez,NYC,M,2523,5,9,44,0.18,0.32,10,8,0,2017,reg
Luciano Acosta,DC,M-F,2419,5,5,46,0.19,0.19,8,4,2,2017,reg
Danny Hoesen,SJ,F,1838,5,5,70,0.24,0.24,16,1,0,2017,reg
Carlos Rivas,ORL,F,1960,5,5,76,0.23,0.23,15,3,0,2017,reg
Kevin Doyle,COL,F,1966,5,4,54,0.23,0.18,9,5,0,2017,reg
Marco Ureña,SJ,F,1766,5,3,49,0.25,0.15,12,3,0,2017,reg
Benny Feilhaber,KC ,M,2269,5,3,64,0.2,0.12,0,4,0,2017,reg
Vako,SJ,M,784,5,2,38,0.57,0.23,1,0,0,2017,reg
Patrick Mullins,TOR,F,1075,5,0,38,0.42,0.0,16,1,0,2017,reg
Rodney Wallace,NYC,D,1935,4,6,52,0.19,0.28,6,6,0,2017,reg
Ethan Finlay,MIN,M,2262,4,4,38,0.16,0.16,10,3,0,2017,reg
Kekuta Manneh,CIN,F,974,4,3,29,0.37,0.28,4,0,0,2017,reg
Brek Shea,MIA,D,1325,4,2,22,0.27,0.14,5,2,1,2017,reg
Emmanuel Boateng,DC,M,2321,4,2,28,0.16,0.08,7,0,0,2017,reg
Darren Mattocks,POR,F,1075,4,2,31,0.33,0.17,7,1,0,2017,reg
Kendall Waston,CIN,D,2250,4,1,19,0.16,0.04,1,7,0,2017,reg
Tony Tchani,CLB,M,2121,4,1,21,0.17,0.04,0,5,2,2017,reg
Tesho Akindele,ORL,F-M,1511,4,0,21,0.24,0.0,8,3,1,2017,reg
Kyle Beckerman,RSL,M,2242,4,0,33,0.16,0.0,0,9,2,2017,reg
Michael Barrios,DAL,M,2566,3,14,60,0.11,0.49,11,5,0,2017,reg
Michael de Leeuw,CHI,F,2189,3,8,37,0.12,0.33,7,5,0,2017,reg
Bastian Schweinsteiger,CHI,M,1993,3,6,25,0.14,0.27,1,5,0,2017,reg
Marky Delgado,TOR,M,2072,3,5,18,0.13,0.22,3,1,1,2017,reg
Darlington Nagbe,CLB,M,2332,3,5,42,0.12,0.19,2,3,0,2017,reg
Jahmir Hyka,SJ,M,1871,3,5,45,0.14,0.24,4,0,0,2017,reg
Marlon Hairston,MIN,M,2605,3,4,15,0.1,0.14,11,2,0,2017,reg
Brooks Lennon,ATL,D,1525,3,4,21,0.18,0.24,13,2,0,2017,reg
Miguel Ibarra ,SEA,M,1758,3,4,22,0.15,0.2,2,2,0,2017,reg
Alan Gordon,COL,F,816,3,4,23,0.33,0.44,8,5,1,2017,reg
Alex Muyl,RBNY,M,1938,3,4,36,0.14,0.19,8,4,0,2017,reg
Luke Mulholland,RSL,M,1949,3,4,44,0.14,0.18,0,4,0,2017,reg
Michael Salazar,HOU,F,690,3,3,10,0.39,0.39,2,1,0,2017,reg
Erik Hurtado,SKC,F,523,3,2,10,0.52,0.34,8,0,0,2017,reg
Thomas McNamara,HOU,M,1574,3,2,23,0.17,0.11,3,5,0,2017,reg
Arturo Alvarez,CHI,M,1084,3,2,27,0.25,0.17,1,2,0,2017,reg
Daniel Salloi,SKC,F,1172,3,2,42,0.23,0.15,4,1,0,2017,reg
Kellyn Acosta,COL,M,1895,3,2,49,0.14,0.09,0,2,0,2017,reg
Giles Barnes,ORL,M,2137,3,2,52,0.13,0.08,2,0,0,2017,reg
Bradford Jamieson IV,LA ,F,984,3,1,8,0.27,0.09,1,2,0,2017,reg
Nicolas Hasler,TOR,D,752,3,1,9,0.36,0.12,1,1,0,2017,reg
Maynor Figueroa,HOU,D,2325,3,1,34,0.12,0.04,1,8,0,2017,reg
Jordan Morris,SEA,F,1801,3,1,34,0.15,0.05,14,0,0,2017,reg
Latif Blessing,LAFC,F,1419,3,1,37,0.19,0.06,23,3,0,2017,reg
Josh Williams,CLB,D,1795,3,0,6,0.15,0.0,1,4,0,2017,reg
Liam Ridgewell,POR,D,1270,3,0,7,0.21,0.0,1,4,0,2017,reg
Jacob Peterson,ATL,F,165,3,0,7,1.64,0.0,0,0,0,2017,reg
Daniel Steres ,LA,D,1843,3,0,16,0.15,0.0,0,1,0,2017,reg
Ike Opara,MIN,D,2700,3,0,17,0.1,0.0,1,3,0,2017,reg
Lamar Neagle,DC,M,1204,3,0,31,0.22,0.0,12,6,0,2017,reg
Sacha Kljestan,LA,M,2582,2,17,41,0.07,0.59,5,6,0,2017,reg
Haris Medunjanin,CIN,M,3057,2,12,36,0.06,0.35,2,4,0,2017,reg
Alex,HOU,M,2309,2,11,40,0.08,0.43,6,5,1,2017,reg
Mauro Diaz,DAL,M,1107,2,8,21,0.16,0.65,1,0,0,2017,reg
Lloyd Sam,DC,M-F,2025,2,6,25,0.09,0.27,6,5,1,2017,reg
Chris Pontius,PHI,M,2253,2,6,43,0.08,0.24,8,0,0,2017,reg
Greg Garza,CIN,D,2150,2,5,12,0.08,0.21,4,2,0,2017,reg
Brandon Vincent,CHI,D,2341,2,5,18,0.08,0.19,1,3,0,2017,reg
Vicente Sanchez,HOU,F,517,2,5,21,0.35,0.87,4,0,0,2017,reg
Johan Venegas,MIN,M,1226,2,5,32,0.15,0.37,6,4,0,2017,reg
Felipe,DC,M,2961,2,5,37,0.06,0.15,2,5,0,2017,reg
Tyler Adams,NYR,M,1994,2,4,12,0.09,0.18,0,2,0,2017,reg
Jonathan Osorio,TOR,M,1060,2,4,16,0.17,0.34,0,1,0,2017,reg
Patrice Bernier,MTL,M,1801,2,4,21,0.1,0.2,2,1,0,2017,reg
Sean Davis,RBNY,M,1795,2,4,28,0.1,0.2,1,5,0,2017,reg
Dairon Asprilla,POR,M-F,1395,2,4,36,0.13,0.26,7,1,0,2017,reg
Alejandro Bedoya,PHI,M,2509,2,4,36,0.07,0.14,9,6,0,2017,reg
Jerome Thiesson,MIN,D,2955,2,3,10,0.06,0.09,1,6,0,2017,reg
Florian Jungwirth,SJ,D,2600,2,3,13,0.07,0.1,0,4,0,2017,reg
Alvas Powell,MIA,D,1690,2,3,13,0.11,0.16,3,3,0,2017,reg
Josh Gatt,COL,M-F,1067,2,3,17,0.17,0.25,4,3,0,2017,reg
Will Johnson,ORL,D,2057,2,3,32,0.09,0.13,0,6,0,2017,reg
Carlos Carmona,ATL,M,2684,2,2,9,0.07,0.07,1,8,1,2017,reg
Atiba Harris,DAL,D,2020,2,2,10,0.09,0.09,1,7,0,2017,reg
Andrew Jacobson,VAN,M,1704,2,2,13,0.11,0.11,0,2,0,2017,reg
Andrew Wenger,HOU,D-M,1110,2,2,21,0.16,0.16,2,2,0,2017,reg
Ballou Jean-Yves Tabla,MTL,F,1146,2,2,26,0.16,0.16,1,4,0,2017,reg
Gyasi Zardes,CLB,F,1987,2,2,29,0.09,0.09,9,3,0,2017,reg
Jordan Hamilton,CLB,F,142,2,1,5,1.27,0.63,2,0,0,2017,reg
Jonathan Lewis,COL,F,342,2,1,9,0.53,0.26,3,0,0,2017,reg
Jack McBean,LA ,F,715,2,1,9,0.25,0.13,4,4,0,2017,reg
Stefan Aigner,COL,M-F,488,2,1,9,0.37,0.18,3,2,0,2017,reg
Memo Rodriguez,HOU,M,326,2,1,11,0.55,0.28,0,0,0,2017,reg
Drew Moor,COL,D,2176,2,1,12,0.08,0.04,0,1,0,2017,reg
Nicolas Mezquida,COL,F-M,686,2,1,12,0.26,0.13,2,1,0,2017,reg
Leonardo,HOU,D,2616,2,1,13,0.07,0.03,1,3,0,2017,reg
Matias Laba,VAN,M,1612,2,1,15,0.11,0.06,0,6,1,2017,reg
Harry Shipp,SEA,M,927,2,1,15,0.19,0.1,2,1,0,2017,reg
Marcus Epps,PHI,M,709,2,1,16,0.25,0.13,2,0,0,2017,reg
Victor Rodriguez,SEA,M,484,2,1,17,0.37,0.19,2,0,0,2017,reg
Marco Donadel,MTL,M,1424,2,1,19,0.13,0.06,0,3,1,2017,reg
Dave Romney,NSH,D,2249,2,1,19,0.08,0.04,0,0,0,2017,reg
Nick Lima,SJ,D,1809,2,1,20,0.1,0.05,1,2,1,2017,reg
Anibal Godoy,NSH,M-D,2134,2,1,20,0.08,0.04,2,10,1,2017,reg
Jonathan Mensah,CLB,D,2169,2,1,20,0.08,0.04,1,7,2,2017,reg
Francisco Calvo ,CHI,D,2430,2,1,22,0.07,0.04,0,5,0,2017,reg
Deshorn Brown,DC,F,788,2,1,22,0.23,0.11,10,1,0,2017,reg
Ian Harkes,DC,M,1948,2,1,25,0.09,0.05,1,2,0,2017,reg
Shkelzen Gashi,COL,M-F,1034,2,1,26,0.17,0.09,0,1,0,2017,reg
Kofi Opare,DC,D,2214,2,1,32,0.08,0.04,3,2,0,2017,reg
Cristian Colman,DAL,F,959,2,1,40,0.19,0.09,6,1,0,2017,reg
Jimmy Medranda ,NSH,D,2086,2,1,49,0.09,0.04,4,2,0,2017,reg
Anton Walkes,ATL,D,1528,2,0,7,0.12,0.0,1,2,0,2017,reg
Sébastien Le Toux,DC ,F,732,2,0,9,0.25,0.0,0,1,0,2017,reg
Brent Kallman,MIN,D,1942,2,0,10,0.09,0.0,2,7,0,2017,reg
Kenwyne Jones,ATL,F,499,2,0,11,0.36,0.0,5,0,0,2017,reg
Alexander Callens,NYC,D,3060,2,0,15,0.06,0.0,0,4,0,2017,reg
Maxime Chanot,NYC,D,1710,2,0,16,0.11,0.0,0,3,0,2017,reg
Michael Amir Murillo,NYR,D,1316,2,0,17,0.14,0.0,0,3,0,2017,reg
Tomas Martinez,HOU,M,501,2,0,18,0.36,0.0,1,2,0,2017,reg
Matt Hedges,DAL,D,2425,2,0,25,0.07,0.0,0,7,0,2017,reg
Joevin Jones,SEA,D-M,2451,1,11,27,0.04,0.4,6,4,1,2017,reg
Matt Polster,NE,D,1769,1,7,9,0.05,0.36,2,3,0,2017,reg
Kelyn Rowe,NE,M,1897,1,7,34,0.05,0.33,3,3,0,2017,reg
Raheem Edwards,MIN,M,1058,1,6,11,0.09,0.51,5,1,0,2017,reg
Ben Sweat,MIA,D,2176,1,6,17,0.04,0.25,3,3,0,2017,reg
David Guzman,POR,M,2028,1,6,42,0.04,0.27,0,11,0,2017,reg
Chris Tierney,NE,D-M,1713,1,5,8,0.05,0.26,0,3,0,2017,reg
Scott Caldwell,NE,M,2195,1,5,11,0.04,0.21,0,2,0,2017,reg
Kemar Lawrence,NYR,D,2076,1,5,17,0.04,0.22,4,7,0,2017,reg
Hernan Grana,DAL,D,2660,1,4,8,0.03,0.14,2,8,0,2017,reg
Yoshi Yotun,ORL,M,887,1,4,16,0.1,0.41,0,2,0,2017,reg
Gustav Svensson,SEA,M,2645,1,4,17,0.03,0.14,1,1,0,2017,reg
Scott Sutter,ORL,D,2729,1,4,17,0.03,0.13,1,1,0,2017,reg
Mohammed Saeid,COL,M,2512,1,4,18,0.04,0.14,0,2,0,2017,reg
Jermaine Jones,LA ,M,1588,1,4,21,0.06,0.23,0,8,1,2017,reg
Tommy Thompson,SJ,D,1534,1,4,42,0.06,0.23,0,1,0,2017,reg
Diego Chara,POR,M,2530,1,3,5,0.04,0.11,0,8,1,2017,reg
Shea Salinas,SJ,M,1435,1,3,6,0.06,0.19,4,3,0,2017,reg
Jeremy Ebobisse,POR,F,317,1,3,6,0.28,0.85,4,0,0,2017,reg
Leandro Gonzalez Pirez,MIA,D,2811,1,3,16,0.03,0.1,1,10,1,2017,reg
Osvaldo Alonso,MIN,M,2073,1,3,24,0.04,0.13,1,4,0,2017,reg
Roger Espinoza,SKC,M,2677,1,3,48,0.03,0.1,3,9,1,2017,reg
Javier Morales,DAL,M,757,1,2,7,0.12,0.24,0,1,0,2017,reg
Niko Hansen,HOU,F,401,1,2,7,0.22,0.45,0,0,0,2017,reg
Fabian Herbers,CHI,F,395,1,2,8,0.23,0.46,0,1,0,2017,reg
Ashley Cole,LA ,D,2499,1,2,8,0.04,0.07,4,1,1,2017,reg
Djordje Mihailovic,CHI,M,732,1,2,8,0.12,0.25,0,0,0,2017,reg
Chris Duvall,POR,D,2210,1,2,11,0.04,0.08,5,5,1,2017,reg
Chad Marshall,SEA,D,2366,1,2,15,0.04,0.08,1,2,0,2017,reg
Kelvin Leerdam,SEA,D,1290,1,2,16,0.07,0.14,2,2,0,2017,reg
Matías Pérez García,ORL,F,971,1,2,17,0.09,0.19,2,3,0,2017,reg
Seth Sinovic,NE,D,2857,1,2,17,0.03,0.06,7,6,0,2017,reg
Bernie Ibini,VAN,M-F,629,1,2,18,0.14,0.29,1,0,0,2017,reg
Patrick Nyarko,DC,F-M,1028,1,2,18,0.09,0.18,8,0,0,2017,reg
Paul Arriola,DC,M-F,922,1,2,19,0.1,0.2,0,2,0,2017,reg
Yangel Herrera,NYC,M,1223,1,2,20,0.07,0.15,0,7,1,2017,reg
Juninho,CHI,M,1528,1,2,26,0.06,0.12,0,3,1,2017,reg
Joao Pedro,LA ,M,2306,1,2,28,0.04,0.08,1,7,0,2017,reg
Tyrone Mears,ATL,D,1498,1,1,2,0.06,0.06,3,2,0,2017,reg
Xavier Kouassi,NE,M,1218,1,1,5,0.07,0.07,0,3,2,2017,reg
Jonathan Spector,ORL,D,2176,1,1,6,0.04,0.04,0,5,1,2017,reg
Jack Elliott,PHI,D,2621,1,1,7,0.03,0.03,0,4,0,2017,reg
Jordan Harvey,LAFC,D,2509,1,1,8,0.04,0.04,1,3,0,2017,reg
Tony Beltran,RSL,D,1820,1,1,8,0.05,0.05,1,3,0,2017,reg
Collen Warner,COL,M,1283,1,1,8,0.07,0.07,0,6,0,2017,reg
Kevin Kratz,ATL,M,590,1,1,8,0.15,0.15,1,1,0,2017,reg
Adam Jahn,ATL,F,316,1,1,8,0.28,0.28,1,3,0,2017,reg
Walker Zimmerman,NSH,D,1602,1,1,9,0.06,0.06,0,0,0,2017,reg
Brandon Vazquez,CIN,F,178,1,1,10,0.51,0.51,1,1,1,2017,reg
Ambroise Oyongo,MTL,D,990,1,1,10,0.09,0.09,0,0,0,2017,reg
Saad Abdul-Salaam,CIN,D,902,1,1,10,0.1,0.1,0,1,0,2017,reg
Krisztian Nemeth,NE,F,177,1,1,10,0.51,0.51,0,0,1,2017,reg
Roy Miller,POR,D,2268,1,1,11,0.04,0.04,1,8,0,2017,reg
Jonathan dos Santos,LA,M,1004,1,1,11,0.09,0.09,0,4,0,2017,reg
Caleb Calvert,COL,F,378,1,1,11,0.24,0.24,2,2,1,2017,reg
Antonio Mlinar Delamea,NE,D,2547,1,1,12,0.04,0.04,0,6,1,2017,reg
Zoltan Stieber,DC,M-F,526,1,1,13,0.17,0.17,2,1,0,2017,reg
Jared Jeffrey,DC,M,1617,1,1,13,0.06,0.06,0,4,0,2017,reg
Jeff Larentowicz,ATL,M,2602,1,1,15,0.03,0.03,0,6,0,2017,reg
Frederic Brillant,DC,D,1523,1,1,15,0.06,0.06,1,3,0,2017,reg
Jelle Van Damme,LA ,D,1503,1,1,16,0.06,0.06,1,8,3,2017,reg
Sam Nicholson,MIN,F,639,1,1,19,0.14,0.14,0,0,0,2017,reg
Tim Parker,RBNY,D,2880,1,1,20,0.03,0.03,1,4,0,2017,reg
Dillon Serna,COL,M,945,1,1,26,0.1,0.1,1,0,0,2017,reg
Jesus Ferreira,DAL,F,19,1,0,1,4.74,0.0,0,0,0,2017,reg
Brad Evans,SEA,D-M,480,1,0,1,0.19,0.0,0,0,1,2017,reg
Ashtone Morgan,RSL,D,283,1,0,1,0.32,0.0,0,1,0,2017,reg
Michael Ciani,LA ,D,540,1,0,3,0.17,0.0,0,3,0,2017,reg
Jose Hernandez,RSL,M,160,1,0,3,0.56,0.0,0,1,0,2017,reg
Miguel Camargo,NYC,M,176,1,0,3,0.51,0.0,0,1,0,2017,reg
Eriq Zavaleta,TOR,D,2356,1,0,4,0.04,0.0,0,4,0,2017,reg
Jack Barmby,POR,M-D,99,1,0,5,0.91,0.0,0,3,0,2017,reg
Omar Holness,RSL,M,261,1,0,5,0.34,0.0,0,1,0,2017,reg
Lalas Abubakar,COL,D,528,1,0,5,0.17,0.0,0,2,1,2017,reg
Servando Carrasco,ORL,M,833,1,0,5,0.11,0.0,0,2,1,2017,reg
Daigo Kobayashi,NE,M,507,1,0,5,0.18,0.0,0,0,0,2017,reg
Bobby Boswell,ATL,D,892,1,0,6,0.1,0.0,0,0,0,2017,reg
Richie Marquez,PHI,D,1212,1,0,6,0.07,0.0,0,0,0,2017,reg
Kyle Fisher,MTL,D,1455,1,0,6,0.06,0.0,0,3,0,2017,reg
Jay Chapman,MIA,M,385,1,0,6,0.23,0.0,1,0,0,2017,reg
Dylan Remick,HOU,D,1167,1,0,6,0.08,0.0,0,1,0,2017,reg
Khiry Shelton,SKC,F,502,1,0,7,0.18,0.0,0,0,0,2017,reg
Sebastian Hines,ORL,D,443,1,0,7,0.2,0.0,0,1,1,2017,reg
Chris Wingert,RSL,D,1755,1,0,7,0.05,0.0,0,5,0,2017,reg
Cristian Lobato,KC ,D,547,1,0,7,0.16,0.0,0,0,0,2017,reg
Aaron Maund,RSL,D,1179,1,0,8,0.08,0.0,0,2,0,2017,reg
Lawrence Olum,POR,D,2103,1,0,10,0.04,0.0,1,3,0,2017,reg
Kortne Ford,COL,D,1727,1,0,10,0.05,0.0,0,4,0,2017,reg
Axel Sjöberg,CLB,D,1637,1,0,11,0.05,0.0,0,1,1,2017,reg
Ariel Lassiter,LA ,F,258,1,0,11,0.35,0.0,0,0,0,2017,reg
Benjamin Angoua,NE,D,2311,1,0,11,0.04,0.0,0,6,0,2017,reg
Benoit Cheyrou,TOR,M,615,1,0,11,0.15,0.0,0,1,0,2017,reg
Jay Simpson,PHI,F,472,1,0,13,0.19,0.0,1,0,0,2017,reg
